batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
0,09:53:01,9.654,4.444,5.224,6.48,7.664,1.679,8.946,9.138,8.604,0.918
1,09:53:01,8.47,5.749,6.251,9.381,4.919,3.57,5.378,7.438,7.505,4.727
2,09:53:01,3.172,8.862,5.842,2.988,1.07,5.68,3.537,1.805,8.47,8.344
3,09:53:01,7.425,3.335,1.966,6.344,0.372,2.87,3.952,0.632,2.415,6.83
4,09:53:01,2.176,4.875,6.231,8.517,5.267,5.712,8.34,7.355,6.839,8.971
5,09:53:01,9.721,5.269,0.767,9.386,1.052,9.563,8.065,5.141,8.795,3.988
6,09:53:01,1.533,2.623,0.266,6.321,7.087,1.549,8.281,3.63,5.491,9.761
7,09:53:01,2.901,4.31,0.088,6.769,7.963,5.616,5.414,0.068,8.688,8.098
8,09:53:01,6.755,4.706,4.756,1.8,3.794,8.372,0.007,8.023,9.61,3.511
9,09:53:01,0.969,7.88,6.196,4.255,2.624,1.037,7.932,3.243,4.316,6.166
