batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
0,10:05:59,3.81,6.382,8.475,5.161,7.816,4.556,3.594,2.09,9.842,1.869
1,10:05:59,9.727,1.796,3.001,2.195,5.522,0.988,8.938,5.8,4.858,1.435
2,10:05:59,8.588,5.988,1.121,6.624,5.468,5.522,5.835,7.044,7.649,8.406
3,10:05:59,0.894,6.751,7.283,4.915,0.965,3.963,5.715,5.272,3.816,1.837
4,10:05:59,8.713,8.632,7.525,8.057,2.838,7.791,5.418,0.085,9.38,5.435
5,10:05:59,9.321,0.033,4.859,7.162,7.365,6.945,8.448,9.053,1.76,9.709
6,10:05:59,5.59,8.854,8.889,4.864,4.701,8.579,5.829,8.211,2.603,9.578
7,10:05:59,5.459,4.703,9.047,3.156,1.937,7.299,6.841,7.81,0.152,6.692
8,10:05:59,6.551,7.945,0.377,1.411,4.727,9.139,0.673,0.167,1.492,1.256
9,10:05:59,1.966,2.231,3.468,7.626,7.035,0.284,5.183,9.123,4.718,1.548
